,0
TCF7L2,0.0
RBP1,0.0
PRICKLE2,7.918552036199097e-05
GPRC5A,0.0
IL17C,0.0
SEZ6L2,0.00010848577235772358
CDC6,0.008979984059317981
NRGN,0.002768022339928842
LYPD1,0.0
FSCN1,0.0013676606642292917
LINC01411,0.0
EIF2S2,8.230074019547701e-05
MITF,0.0
NDC80,0.0003340108401084012
SIL1,0.0
SPATA17,2.84188034188034e-05
MIR4458HG,0.0007944314921090387
MND1,0.0003970588235294118
CDC42EP3,0.0
MUC16,0.0
RFC3,0.0008936932359188456
MARCH2,0.004871096618723565
JUNB,0.0
CCDC146,0.0
CD99,5.417956656346752e-05
PCDHGC3,2.7910685805422626e-05
ALDH7A1,0.0009165337586390219
GART,8.750000000000003e-05
KIF23,2.777777777777778e-05
MORC4,0.0
MCM3,0.0
IFIH1,0.0021787348612369245
FAM43A,0.003533916291446633
DHTKD1,2.8225806451612888e-05
TPRA1,5.4054054054054026e-05
CMTM6,0.0
PDLIM7,0.0010468017241429938
PLCE1,7.918552036199092e-05
YWHAH,5.439005439005437e-05
GOLGA2,0.0
THG1L,5.365105908584168e-05
CMIP,0.0
SRC,5.681818181818184e-05
EAF1,0.0
FJX1,2.7910685805422626e-05
IFI16,0.0001597408358771995
CEP290,2.7777777777777786e-05
FAM162A,0.0
AHI1,0.00010674784864751972
ANXA4,5.61364922570355e-05
DUSP3,2.7821939586645457e-05
SLCO2B1,7.954545454545455e-05
NOMO1,0.0
UBL7,0.001315455712905582
CLEC11A,0.0013265647902971321
TMEM178B,0.0
ZFHX3,0.0
ENDOD1,0.0
YWHAE,0.0
HMGB2,0.0
TMEM161B,2.8225806451612888e-05
GDAP2,8.395666292265185e-05
PHLDA3,0.0
ACSL4,0.0
PBDC1,0.0
PFKP,7.882882882882884e-05
HSD17B7,8.45360237571095e-05
GGCT,0.0
GSTO2,0.002154168887434925
RARS,0.00015762867647058825
LMO4,0.0
ATP6V1B2,0.0005258812440419702
KDELR2,0.0
NNT-AS1,0.0
TSC22D1,0.00018523720939036414
STX7,0.00011096007054224732
MT1G,0.0
GNE,0.0
RCAN1,0.0
C1orf21,0.0012334885260823728
PON2,7.882882882882884e-05
TPMT,0.0
ERVMER34-1,2.7910685805422633e-05
ARHGAP18,5.4012345679012355e-05
HIST1H2BC,0.0
LBX2,0.0
IKBIP,0.0
KCNK15,0.0
TIMP3,0.0
REEP3,2.991452991452993e-05
BCAT1,0.0
MGST2,0.0
CDH4,0.0
AURKB,0.00025484441337510623
ERBB2,0.0
CHPF,0.003757031159915337
CASC8,0.0
APOL1,0.0026003380166258147
DTL,0.006995367422713939
RPS23,0.0
TTC39C,0.0016368153048875098
CACNA1A,8.333333333333334e-05
APEX1,0.0
CRNDE,0.004721679748521471
TJP2,0.0004748268253170214
DUSP10,0.00015635152696556206
RASSF6,5.468749999999999e-05
KSR1,2.7910685805422633e-05
ORAI2,0.004305881796444581
EMC1,8.28966838824755e-05
ARMCX3,0.0
CARS,0.0013356411258196972
MLLT11,0.00010416666666666667
RNF168,0.0
KITLG,0.0
HIST1H2BN,0.0004974615755715502
TRIP10,0.0
CDT1,0.0006092172884238547
SPA17,0.0
TWSG1,0.0
CPNE2,8.207950419255816e-05
TBC1D4,0.0
ARHGAP31,2.779639143275505e-05
RNF217,0.0001640696510297483
PLIN2,2.838519764507989e-05
NDRG1,2.8194444444444428e-05
CDKN2B,8.18128177196805e-05
FANCI,0.000611603301593814
HMGN5,0.0006049238021718766
SLC39A3,0.0
IFI44,0.0003755334281650071
FBXO2,0.0
NCEH1,8.441084215313996e-05
DEFB1,0.0
TMEM106A,0.0027251215563157127
SERPINB1,2.873563218390802e-05
STAP2,0.0
H2AFY2,2.777777777777778e-05
HPSE,5.439005439005437e-05
PPCDC,2.3333333333333336e-05
SLC20A1,0.0
MFSD1,8.272727272727274e-05
SMIM22,0.0
MACROD2,0.00010836673994568732
CDCA8,0.0017898321859831005
CERCAM,0.00044386527666399363
ZNF185,0.0
PLXNA3,8.064516129032261e-05
ZBED2,0.0008978978978978979
TXNDC11,0.0005221291866028708
PGLS,0.0
RAB8A,0.0014738665810623637
TFDP2,0.0
TRIQK,0.00010835830835830834
NRAV,0.0004204545454545454
MYD88,0.0034492820701651577
COMT,5.4012345679012355e-05
SOX9,7.894736842105265e-05
DST,0.0014422357896117161
PLXNB1,8.457328385899816e-05
TNFRSF25,0.00044444577940108503
PDE4D,0.003832338251576055
MAP3K1,0.0
GALNT10,0.0
ADGRG6,2.777777777777778e-05
MIEF1,3.545041012145381e-05
UBR4,0.0
ZNF583,0.0
DSC2,2.7755102040816326e-05
AKT3,0.0002740779934802705
RNF157,0.0
NDN,0.0
ORAI3,0.002500546703831333
FRMD3,2.8455284552845545e-05
EIF5A2,0.0
PLAGL2,2.801568878571999e-05
FNDC3B,0.0
WNK4,0.0
NDUFS4,0.0
TMEM97,0.00041996951219512194
BACH1,0.0
PUM3,5.468749999999999e-05
TPD52,0.0
ANGPTL4,0.00010347376201034736
