col_name,feature_importance_vals
LPIN2,0.00013023045263114717
CCL20,0.0
REEP4,0.00010607876515045857
DPYD,0.0
FUOM,0.0
LINC01215,0.0
NT5E,0.0005593520373453374
ADAM19,0.0
ERLEC1,0.00040991583439497245
NSUN6,0.0
MARVELD2,0.00018813088524674215
TSPAN2,0.0
CDC42EP1,0.0
CSPP1,2.535071486151353e-05
PRC1,0.0017449909332844275
CCDC112,9.476456687965947e-05
SEC14L1,2.1567118757706785e-05
JSRP1,0.0
NCALD,0.0
AUTS2,0.0
CENPU,0.0004006112784447853
SNAPC1,0.0008244529039773793
AHR,0.0
MNS1,2.3021094853537163e-05
PSTPIP2,0.0
PICALM,0.0
SULF2,0.0
SOX4,2.7487149394803463e-05
SYCE1,0.0
DBT,0.0
TET3,0.0
NXPH4,0.0003013085771429305
AKIRIN2,0.0
CANX,0.00010835709369250676
CDC25B,0.0
SPON1,4.680636003595494e-05
NEU1,0.0
HIST1H3G,3.8233256806622054e-05
CADM1,0.0
ZFP36L1,0.0
CCDC34,0.008023441683579822
ABLIM1,7.79354796074344e-05
CHRNB1,0.0
EPHB1,0.0
GPX3,0.0
SCLT1,0.0
NOG,0.0
HACD1,0.00142452105283949
KIFC3,5.2240584560615904e-05
DPP4,9.958495994091231e-05
FOSB,0.0
ADGRG1,0.0004520663038316411
NEK11,0.0
PHLDA1,0.0026232580592012696
NASP,6.35549871693575e-05
UCHL1,8.354589313027375e-05
ATF4,0.0
HEXIM2,4.4537838665754076e-05
DHRS3,0.0
NAGA,1.9923326341224093e-05
CITED4,0.0
SLC20A2,0.00046739722029915553
NAAA,0.0
FKBP11,0.0
RAD51AP1,6.669093325667028e-05
XAF1,0.0
SESN2,0.0
SYTL4,0.0
PFN1,0.0
NOP16,0.0
C2orf88,4.8042391204959986e-05
RIN2,0.00012094246440524303
VNN1,0.00010622907362656944
FKBP1B,0.0
RECQL,0.0
ZNF710,0.0
SCRN1,0.0005926374367357743
DNAJC10,0.00015242379205125068
RAB34,0.0012829840328313798
CLDN16,0.0
ADGRE5,0.0
DEK,0.0
ELFN1-AS1,0.0
HMGXB3,7.042944337261522e-05
LAMB3,0.0008455810332428259
MAP7D3,0.00015336432439739796
BIRC5,0.0
ARF4,0.0
PTPRE,2.0307004200949607e-05
MARCKSL1,0.0
VSTM1,4.680636003595494e-05
KCNQ1,0.0
BIK,0.017004001904278684
SAA1,0.000105025666962532
TET2,0.0
KIF13A,0.0
CDCA7,0.004299426695636021
SOCS3,0.0
IFNGR2,0.0
WDR44,3.5912713411784764e-05
STAMBPL1,0.0
LTV1,7.888501947508973e-05
AKAP12,4.843748174276751e-05
OPN3,0.0
DDIT4L,0.0
PLAU,0.0006116044762628262
C12orf45,0.0
PLK4,0.0010307763560156817
POFUT1,0.0015319869758641776
TTC26,8.368574538330484e-05
H2AFJ,0.0
IL18,7.301175017661012e-05
APOLD1,0.0
TRMT5,0.0005792890746726001
FAM114A1,0.001335123811862343
TAP2,0.0
HIP1,0.0
TRIP13,0.0061716193985863
MRPL1,0.00010592168704350549
DPYSL2,0.0
TRIM16,0.0002802265959720558
RAB42,0.0
LEPROT,0.0
GRINA,0.0
HM13,9.90986928578987e-05
RAB3B,6.679241015590995e-05
IL6ST,0.001407668773617709
COCH,0.0
SEC11C,0.0
SND1,0.0
FAM117B,0.00015114597048613662
CDV3,3.981966269943554e-05
H1FX,0.0
SLC12A2,0.0002061421499524006
HEXA,0.0
MMP1,9.677607940062526e-05
AP1S2,0.0
SCOC-AS1,8.679214136425897e-05
PPP1R1B,7.152336168045733e-05
HIST1H1A,0.0014801886771120317
ICAM1,0.0
DAPK1,0.0
HAGHL,0.0
MSRB3,0.00021186106930348722
LGALS3BP,0.0003672294067163297
PIF1,6.380120408434396e-05
SFTA2,0.0
MSRB1,0.0
SWI5,0.0020385094782917087
FOSL2,6.98274548894921e-05
RGS19,0.0
DNAJC9,0.00010193755190056595
HADH,0.0
TNNC1,0.0
COL4A1,0.0
JUP,0.0008967078097947653
PPIB,0.0
SLC16A6,2.535071486151353e-05
ATP2A2,0.00036133754561972343
CDKN3,0.00040896888136700017
LXN,0.0
THSD7A,0.0
BSPRY,7.152336168045733e-05
PLEKHF1,0.0
MAK16,7.010247765840467e-05
SUSD5,0.0
LAMA3,0.0007372466573355216
FGFBP1,0.003786170051368033
TSPAN33,0.0
PLXND1,2.2028073106422717e-05
AXL,0.0011473965617921297
CUX1,7.010247765840467e-05
ADI1,0.0
MATN2,0.0
RRM2,0.0
ACER3,5.455765068383729e-05
KIF14,0.00016082136530384984
MSRB2,0.0001572904976976835
METTL8,2.8293594019135037e-05
MYO1C,2.9155516568297084e-05
NGFR,0.0
MREG,0.0
OSCAR,0.0
