,0
PLA2G7,0.01687991301752991
RHOC,0.016819651960411755
NMT2,0.016776903135450626
IFI16,0.016525155750781836
HM13,0.016509983469812403
TMED5,0.016414497066212702
SIRPA,0.016392956453560974
CYP1B1,0.016186065811240873
RNF144B,0.016051047969152785
HLA-B,0.015988446468082926
STMN3,0.015975741276114567
ARL4C,0.015972272152165543
CTSA,0.015934060425326524
CUX1,0.015792336144628452
HSP90B1,0.015598729935855702
ATF3,0.015583500489327187
TACC1,0.015484398062557731
RHOQ,0.015392843007624443
ID1,0.015380964076981559
TNFRSF25,0.015255024217145731
OPTN,0.015196589697497768
IKZF3,0.015169029966472269
AKR1A1,0.015064349215603894
ARID5B,0.015054872691145442
GABARAPL1,0.015010789918293242
ADAM15,0.014968562535977512
TPM4,0.014927535776764688
CHPT1,0.014804396538450488
PDIA6,0.014721270177915295
KDELR2,0.014691666189098554
UBXN11,0.014669071710228179
ADI1,0.014564854031810685
DAPP1,0.014531348445050956
ABLIM1,0.014423535024130865
TUBA4A,0.014387297804277837
RABGAP1L,0.014332205595356475
HSPA1A,0.014271565691612859
MED13L,0.014264213611187135
NDUFS4,0.014262275925054281
TLN1,0.014212976009048615
RIC3,0.01411977193939189
TCOF1,0.014084826184001219
LIMS1,0.014076901188079041
NRG1,0.014061277139902836
MAP2K3,0.013898511678134004
FAM110A,0.013840717771173966
PPP1R15B,0.013767696607795253
ACER3,0.013703324436656235
DOCK5,0.013656405221335426
PSME2,0.013652801669720323
PABPC4,0.013638647628457703
BCKDK,0.013615521436184113
IL4R,0.013522706059770087
RGCC,0.013500680384298415
CTBP2,0.013453503870426134
CEBPG,0.013324685806215014
CXCL16,0.013300996614112435
NUFIP2,0.01327622717435909
HADHB,0.01325885553268555
CREB5,0.0132408207399073
G0S2,0.013239446516099084
TCF7L2,0.013199095766976095
DENND6B,0.013100621724458975
SAMD3,0.01309483305636603
STMN1,0.012916531412720913
SCLT1,0.012871623950415493
BEX2,0.012844610122121467
GATA3,0.012809440748075824
EREG,0.01279018421539119
CDV3,0.012723924473603326
UBR4,0.012714345712187387
CYB5R4,0.012660431672231805
GYG1,0.012589015642002871
